date,factor,rank_ic,number_of_stocks
2016-02-26,vol_ratio_5_20,-0.1959683357879234,97
2016-02-26,parkinson_vol_20,0.23961182411108772,97
2016-02-26,overnight_vol_20,0.15481011992425833,97
2016-02-26,downside_vol_20,0.36931937723543024,97
2016-02-26,volume_zscore_20,-0.1799784346728382,97
2016-02-26,volume_trend_5_20,-0.18373921733641907,97
2016-02-26,amihud_illiq_20,0.14694666526404374,97
2016-02-26,signed_volume_pressure_20,-0.10306648432568903,97
2016-02-26,volume_cv_20,0.18192457395329262,97
2016-02-26,return_volume_corr_20,0.013070692194403533,97
2016-02-26,close_location_value,0.211997685672207,97
2016-02-26,body_range_ratio,0.18230830935077852,97
2016-02-26,gap_followthrough_20,0.1488139070061014,97
2016-02-26,cs_rank_ret20,-0.1486035135703766,97
2016-02-26,cs_rank_ret60,-0.30692457395329265,97
2016-02-26,cs_rank_vol20,0.29415632232274347,97
2016-02-26,cs_rank_amihud20,0.14694666526404374,97
2016-02-26,return_autocorr_20,-0.09334893751314957,97
2016-02-26,revenue_growth_yoy,-0.28894232368519246,45
2016-02-26,gross_margin_change_yoy,-0.1685355081051639,43
2016-02-26,operating_profitability,-0.31771214614598414,63
2016-02-26,cashflow_to_assets,-0.2816140040582742,36
2016-02-26,debt_to_assets,-0.2497256541887192,49
2016-02-26,asset_growth_yoy,-0.18604481225485875,69
2016-03-04,ret_1d,0.08305280875236691,97
2016-03-04,ret_5d,-0.05174363559856932,97
2016-03-04,ret_20d,-0.2246475909951609,97
2016-03-04,ret_60d,-0.24275457605722697,97
2016-03-04,ret_120d,-0.04127780792186653,96
2016-03-04,momentum_20_5,-0.1520750052598359,97
2016-03-04,overnight_gap,0.1533838936728967,97
2016-03-04,intraday_return,0.016660530191458023,97
2016-03-04,ema20_distance,-0.14005628024405636,97
2016-03-04,ema60_distance,-0.18977487902377443,97
2016-03-04,ema20_60_spread,-0.17811119293078054,97
2016-03-04,rsi14_centered,-0.09643909110035766,97
2016-03-04,macd_hist_atr,0.018093835472333262,97
2016-03-04,breakout_position_60,-0.11889859036398064,97
2016-03-04,trend_r2_20,-0.13325794235219862,97
2016-03-04,realized_vol_5,0.10694561329686514,97
2016-03-04,realized_vol_20,-0.002011887229118451,97
2016-03-04,vol_ratio_5_20,0.17641489585524933,97
2016-03-04,parkinson_vol_20,-0.1099042709867452,97
2016-03-04,overnight_vol_20,0.14957658321060383,97
2016-03-04,downside_vol_20,0.0626840942562592,97
2016-03-04,volume_zscore_20,0.05330843677677256,97
2016-03-04,volume_trend_5_20,0.12488165369240478,97
2016-03-04,amihud_illiq_20,-0.08511729434041658,97
2016-03-04,signed_volume_pressure_20,-0.08184304649694929,97
2016-03-04,volume_cv_20,0.017843993267410055,97
2016-03-04,return_volume_corr_20,-0.1727593099095308,97
2016-03-04,close_location_value,-0.1440406059330949,97
2016-03-04,body_range_ratio,-0.004405112560488112,97
2016-03-04,gap_followthrough_20,0.1803071744161582,97
2016-03-04,cs_rank_ret20,-0.2246475909951609,97
2016-03-04,cs_rank_ret60,-0.24275457605722697,97
2016-03-04,cs_rank_vol20,-0.002011887229118451,97
2016-03-04,cs_rank_amihud20,-0.08511729434041658,97
2016-03-04,return_autocorr_20,0.26049337260677463,97
2016-03-04,revenue_growth_yoy,0.26094403650639475,45
2016-03-04,gross_margin_change_yoy,0.1554724960522099,43
2016-03-04,operating_profitability,-0.051465790591634114,64
2016-03-04,cashflow_to_assets,0.25143737819049033,37
2016-03-04,debt_to_assets,0.0357471297994395,49
2016-03-04,asset_growth_yoy,0.05208688729870643,70
2016-03-11,ret_1d,0.14451399116347566,97
2016-03-11,ret_5d,-0.0020907847675152532,97
2016-03-11,ret_20d,0.0939932674100568,97
2016-03-11,ret_60d,-0.10240900483904902,97
2016-03-11,ret_120d,-0.26253391209983723,96
2016-03-11,momentum_20_5,0.08374973700820534,97
2016-03-11,overnight_gap,0.0664711760993057,97
2016-03-11,intraday_return,0.15221357633937296,97
2016-03-11,ema20_distance,0.14630233536713655,97
2016-03-11,ema60_distance,-0.01756785188302125,97
2016-03-11,ema20_60_spread,-0.17040553334735953,97
2016-03-11,rsi14_centered,-0.04434041657900273,97
2016-03-11,macd_hist_atr,0.18780244056385437,97
2016-03-11,breakout_position_60,-0.1850278771302335,97
2016-03-11,trend_r2_20,-0.016358089627603614,97
2016-03-11,realized_vol_5,0.33353934357248055,97
2016-03-11,realized_vol_20,0.3102119713864927,97
2016-03-11,vol_ratio_5_20,0.09422996002524721,97
2016-03-11,parkinson_vol_20,0.31515621712602565,97
2016-03-11,overnight_vol_20,0.157466337050284,97
2016-03-11,downside_vol_20,0.32830580685882593,97
2016-03-11,volume_zscore_20,0.026101935619608663,97
2016-03-11,volume_trend_5_20,0.04056648432568903,97
2016-03-11,amihud_illiq_20,0.1998869135282979,97
2016-03-11,signed_volume_pressure_20,-0.11876709446665264,97
2016-03-11,volume_cv_20,0.14087155480749,97
2016-03-11,return_volume_corr_20,-0.05241426467494213,97
2016-03-11,close_location_value,0.037187039764359345,97
2016-03-11,body_range_ratio,0.114066491119683,97
2016-03-11,gap_followthrough_20,0.16250262991794653,97
2016-03-11,cs_rank_ret20,0.0939932674100568,97
2016-03-11,cs_rank_ret60,-0.10240900483904902,97
2016-03-11,cs_rank_vol20,0.3102119713864927,97
2016-03-11,cs_rank_amihud20,0.1998869135282979,97
2016-03-11,return_autocorr_20,0.013386282347990741,97
2016-03-11,revenue_growth_yoy,-0.17227181405307304,45
2016-03-11,gross_margin_change_yoy,0.21512440080269352,43
2016-03-11,operating_profitability,-0.13800524274304735,64
2016-03-11,cashflow_to_assets,-0.09935985132779812,38
2016-03-11,debt_to_assets,-0.25252793836889764,49
2016-03-11,asset_growth_yoy,0.030216343421184417,70
2016-03-18,ret_1d,-0.20080738480959393,97
2016-03-18,ret_5d,-0.08252682516305491,97
2016-03-18,ret_20d,-0.050205133599831676,97
2016-03-18,ret_60d,0.12528929097412161,97
2016-03-18,ret_120d,0.3289880629408573,96
2016-03-18,momentum_20_5,-0.04774616031979802,97
2016-03-18,overnight_gap,0.0033136966126656848,97
2016-03-18,intraday_return,-0.18734220492320638,97
2016-03-18,ema20_distance,-0.08144855880496527,97
2016-03-18,ema60_distance,0.01675257731958763,97
2016-03-18,ema20_60_spread,0.16287081843046491,97
2016-03-18,rsi14_centered,0.05726646328634546,97
2016-03-18,macd_hist_atr,0.08280296654744371,97
2016-03-18,breakout_position_60,0.056385440774247834,97
2016-03-18,trend_r2_20,0.05939669682305911,97
2016-03-18,realized_vol_5,-0.12755102040816327,97
2016-03-18,realized_vol_20,-0.24380654323585102,97
2016-03-18,vol_ratio_5_20,0.09516358089627602,97
2016-03-18,parkinson_vol_20,-0.26973753418893326,97
2016-03-18,overnight_vol_20,-0.19738849147906581,97
2016-03-18,downside_vol_20,-0.22279349884283609,97
2016-03-18,volume_zscore_20,0.020723753418893327,97
2016-03-18,volume_trend_5_20,0.1056701030927835,97
2016-03-18,amihud_illiq_20,-0.18389701241321268,97
2016-03-18,signed_volume_pressure_20,-0.08856248685041027,97
2016-03-18,volume_cv_20,-0.07871344414054281,97
2016-03-18,return_volume_corr_20,-0.00432621502209131,97
2016-03-18,close_location_value,-0.10012097622554175,97
2016-03-18,body_range_ratio,-0.2272906585314538,97
2016-03-18,gap_followthrough_20,-0.029547128129602352,97
2016-03-18,cs_rank_ret20,-0.050205133599831676,97
2016-03-18,cs_rank_ret60,0.12528929097412161,97
2016-03-18,cs_rank_vol20,-0.24380654323585102,97
2016-03-18,cs_rank_amihud20,-0.18389701241321268,97
2016-03-18,return_autocorr_20,0.1367951819903219,97
2016-03-18,revenue_growth_yoy,-0.05168213638400354,46
2016-03-18,gross_margin_change_yoy,0.23792804034022016,43
2016-03-18,operating_profitability,0.043419299869916536,63
2016-03-18,cashflow_to_assets,0.020353449721333093,38
2016-03-18,debt_to_assets,0.15271814884051677,50
2016-03-18,asset_growth_yoy,-0.23550201647315708,70
2016-03-24,ret_1d,0.10464443509362506,97
2016-03-24,ret_5d,-0.07399274142646749,97
2016-03-24,ret_20d,0.05599095308226383,97
2016-03-24,ret_60d,-0.011479591836734693,97
2016-03-24,ret_120d,-0.015056280244056383,97
2016-03-24,momentum_20_5,0.10968072796128758,97
2016-03-24,overnight_gap,-0.05729276246581106,97
2016-03-24,intraday_return,0.11930357489795766,97
2016-03-24,ema20_distance,-0.014951083526193983,97
2016-03-24,ema60_distance,0.03458342099726488,97
2016-03-24,ema20_60_spread,0.055793709236271825,97
2016-03-24,rsi14_centered,-0.0004076372817168104,97
2016-03-24,macd_hist_atr,-0.07141542183883863,97
2016-03-24,breakout_position_60,0.029718072796128755,97
2016-03-24,trend_r2_20,0.03424153166421208,97
2016-03-24,realized_vol_5,0.19319377235430252,97
2016-03-24,realized_vol_20,0.04490584893751314,97
2016-03-24,vol_ratio_5_20,0.21420681674731748,97
2016-03-24,parkinson_vol_20,0.11450662739322531,97
2016-03-24,overnight_vol_20,-0.20621186618977486,97
2016-03-24,downside_vol_20,0.011913528297917104,97
2016-03-24,volume_zscore_20,-0.05792394277298547,97
2016-03-24,volume_trend_5_20,0.06852251209762254,97
2016-03-24,amihud_illiq_20,-0.02715390279823269,97
2016-03-24,signed_volume_pressure_20,0.08662949715968862,97
2016-03-24,volume_cv_20,-0.10447349042709865,97
2016-03-24,return_volume_corr_20,0.10969387755102039,97
2016-03-24,close_location_value,0.011400694298337892,97
2016-03-24,body_range_ratio,-0.005753134639609421,97
2016-03-24,gap_followthrough_20,0.11021986114033241,97
2016-03-24,cs_rank_ret20,0.05599095308226383,97
2016-03-24,cs_rank_ret60,-0.011479591836734693,97
2016-03-24,cs_rank_vol20,0.04490584893751314,97
2016-03-24,cs_rank_amihud20,-0.02715390279823269,97
2016-03-24,return_autocorr_20,-0.09803019145802651,97
2016-03-24,revenue_growth_yoy,-0.19729254688833806,46
2016-03-24,gross_margin_change_yoy,0.017367010243811695,43
2016-03-24,operating_profitability,-0.16386045340625774,63
2016-03-24,cashflow_to_assets,0.18755813345357486,38
2016-03-24,debt_to_assets,0.0342115475375765,50
2016-03-24,asset_growth_yoy,0.09390336719252852,70
2016-04-01,ret_1d,0.09363822848727119,97
2016-04-01,ret_5d,-0.21780980433410477,97
2016-04-01,ret_20d,-0.25324794866400163,97
2016-04-01,ret_60d,-0.008744477172312222,97
2016-04-01,ret_120d,0.04747001893540921,97
2016-04-01,momentum_20_5,-0.15771617925520723,97
2016-04-01,overnight_gap,0.08465705869976857,97
2016-04-01,intraday_return,0.10887860298758678,97
2016-04-01,ema20_distance,-0.22218861771512727,97
2016-04-01,ema60_distance,-0.07153376814643382,97
2016-04-01,ema20_60_spread,-0.002906059330948874,97
2016-04-01,rsi14_centered,-0.03722648853355775,97
2016-04-01,macd_hist_atr,-0.1767304860088365,97
2016-04-01,breakout_position_60,-0.01447769829581317,97
2016-04-01,trend_r2_20,-0.09785924679150008,97
2016-04-01,realized_vol_5,-0.23642962339575002,97
2016-04-01,realized_vol_20,-0.3030059962129181,97
2016-04-01,vol_ratio_5_20,0.05660898379970544,97
2016-04-01,parkinson_vol_20,-0.29270986745213545,97
2016-04-01,overnight_vol_20,-0.16897222806648432,97
2016-04-01,downside_vol_20,-0.1893672417420576,97
2016-04-01,volume_zscore_20,0.09213917525773195,97
2016-04-01,volume_trend_5_20,-0.04377498422049231,97
