date,factor,rank_ic,number_of_stocks
2016-03-24,rsi14_centered,0.1410162002945508,97
2016-03-24,macd_hist_atr,-0.18828897538396802,97
2016-03-24,breakout_position_60,0.3199821165579634,97
2016-03-24,trend_r2_20,0.08948295813170629,97
2016-03-24,realized_vol_5,-0.2035950978329476,97
2016-03-24,realized_vol_20,-0.26468809173153796,97
2016-03-24,vol_ratio_5_20,0.04048758678729224,97
2016-03-24,parkinson_vol_20,-0.2314590784767515,97
2016-03-24,overnight_vol_20,-0.37567062907637283,97
2016-03-24,downside_vol_20,-0.2522485798443089,97
2016-03-24,volume_zscore_20,-0.11732063959604459,97
2016-03-24,volume_trend_5_20,0.20656690511256046,97
2016-03-24,amihud_illiq_20,-0.33235588049652853,97
2016-03-24,signed_volume_pressure_20,0.05510993057016621,97
2016-03-24,volume_cv_20,-0.3633231643172733,97
2016-03-24,return_volume_corr_20,0.12827424784346728,97
2016-03-24,close_location_value,-0.09466389648642962,97
2016-03-24,body_range_ratio,-0.012887021592725102,97
2016-03-24,gap_followthrough_20,0.06398590363980644,97
2016-03-24,cs_rank_ret20,0.007403219019566589,97
2016-03-24,cs_rank_ret60,0.2039238375762676,97
2016-03-24,cs_rank_vol20,-0.26468809173153796,97
2016-03-24,cs_rank_amihud20,-0.33235588049652853,97
2016-03-24,return_autocorr_20,-0.04558962760361876,97
2016-03-24,revenue_growth_yoy,-0.08523235379796286,46
2016-03-24,gross_margin_change_yoy,-0.25914599633374663,43
2016-03-24,operating_profitability,-0.09694336770292587,63
2016-03-24,cashflow_to_assets,0.1955463153334529,38
2016-03-24,debt_to_assets,-0.026320276375603857,50
2016-03-24,asset_growth_yoy,-0.06634648190685079,70
2016-04-01,ret_1d,0.02523406269724384,97
2016-04-01,ret_5d,-0.053847569955817375,97
2016-04-01,ret_20d,-0.2834131075110456,97
2016-04-01,ret_60d,-0.05334788554597096,97
2016-04-01,ret_120d,0.11630812118661896,97
2016-04-01,momentum_20_5,-0.27731169787502624,97
2016-04-01,overnight_gap,0.2163370502840311,97
2016-04-01,intraday_return,-0.024471386492741422,97
2016-04-01,ema20_distance,-0.149037450031559,97
2016-04-01,ema60_distance,-0.041618451504313064,97
2016-04-01,ema20_60_spread,-0.02228855459709657,97
2016-04-01,rsi14_centered,-0.06512991794656006,97
2016-04-01,macd_hist_atr,-0.1689327792972859,97
2016-04-01,breakout_position_60,-0.04055333473595624,97
2016-04-01,trend_r2_20,-0.1567168104355144,97
2016-04-01,realized_vol_5,-0.11194245739532925,97
2016-04-01,realized_vol_20,-0.10678781822007154,97
2016-04-01,vol_ratio_5_20,0.0006574794866400167,97
2016-04-01,parkinson_vol_20,-0.1219098464127919,97
2016-04-01,overnight_vol_20,-0.14580265095729014,97
2016-04-01,downside_vol_20,-0.03184830633284241,97
2016-04-01,volume_zscore_20,0.12448716600042078,97
2016-04-01,volume_trend_5_20,0.08606406480117819,97
