year,mean_rank_ic,median_rank_ic,rank_ic_std,positive_ic_ratio,negative_ic_ratio,icir,annualized_icir,mean_ndcg5,mean_ndcg10,mean_ndcg20,mean_top5_return,mean_top10_return,mean_top5_bottom5_spread,mean_top10_bottom10_spread,number_of_dates,factor_set_name,sample_mode
2024,-0.054533113650013385,-0.04294419325396741,0.1549762557524286,0.40384615384615385,0.5961538461538461,-0.35188044378313615,-2.537445965786242,0.47222646953746344,0.46795979127962134,0.4956097228926678,-0.002549836670322909,-0.002534138088908459,-0.0031053858068999097,-0.0027956466524302467,52,strong_only,native_coverage
2025,-0.025952472803429265,-0.032006266131693106,0.1483200500511375,0.40384615384615385,0.5961538461538461,-0.17497615996273885,-1.261771033458888,0.4698644980475683,0.4800498943680986,0.5018130675813214,2.2748257881254497e-05,-0.0002455332948933945,-0.0004255865083241286,-0.0005624233996697098,52,strong_only,native_coverage
2026,-0.0267733646391462,-0.02734777017771714,0.12420723222169144,0.38235294117647056,0.6176470588235294,-0.2155539911827334,-1.5543819356805157,0.4903340568563249,0.4918020440824649,0.5044443682515661,-0.0005229992682597705,-0.00016304861518478576,0.0007003597781168749,-0.000248160824157068,34,strong_only,native_coverage
2024,-0.054533113650013385,-0.04294419325396741,0.1549762557524286,0.40384615384615385,0.5961538461538461,-0.35188044378313615,-2.537445965786242,0.47222646953746344,0.46795979127962134,0.4956097228926678,-0.002549836670322909,-0.002534138088908459,-0.0031053858068999097,-0.0027956466524302467,52,top_10,common_sample
2025,-0.025952472803429265,-0.032006266131693106,0.1483200500511375,0.40384615384615385,0.5961538461538461,-0.17497615996273885,-1.261771033458888,0.4698644980475683,0.4800498943680986,0.5018130675813214,2.2748257881254497e-05,-0.0002455332948933945,-0.0004255865083241286,-0.0005624233996697098,52,top_10,common_sample
2026,-0.0267733646391462,-0.02734777017771714,0.12420723222169144,0.38235294117647056,0.6176470588235294,-0.2155539911827334,-1.5543819356805157,0.4903340568563249,0.4918020440824649,0.5044443682515661,-0.0005229992682597705,-0.00016304861518478576,0.0007003597781168749,-0.000248160824157068,34,top_10,common_sample
2024,-0.054533113650013385,-0.04294419325396741,0.1549762557524286,0.40384615384615385,0.5961538461538461,-0.35188044378313615,-2.537445965786242,0.47222646953746344,0.46795979127962134,0.4956097228926678,-0.002549836670322909,-0.002534138088908459,-0.0031053858068999097,-0.0027956466524302467,52,top_10,native_coverage
2025,-0.025952472803429265,-0.032006266131693106,0.1483200500511375,0.40384615384615385,0.5961538461538461,-0.17497615996273885,-1.261771033458888,0.4698644980475683,0.4800498943680986,0.5018130675813214,2.2748257881254497e-05,-0.0002455332948933945,-0.0004255865083241286,-0.0005624233996697098,52,top_10,native_coverage
2026,-0.0267733646391462,-0.02734777017771714,0.12420723222169144,0.38235294117647056,0.6176470588235294,-0.2155539911827334,-1.5543819356805157,0.4903340568563249,0.4918020440824649,0.5044443682515661,-0.0005229992682597705,-0.00016304861518478576,0.0007003597781168749,-0.000248160824157068,34,top_10,native_coverage
2024,-0.06004589452994312,-0.0338284327174836,0.15489147185689503,0.40384615384615385,0.5961538461538461,-0.38766430333504615,-2.795487046683069,0.47967877617535226,0.4692082571737786,0.49792735884727013,-0.002219312688596768,-0.003188167519209326,-0.0037242641497976935,-0.004538518789025149,52,top_15,common_sample
